comment,sentiment
slowmoving aimless movie distressed drifting young man,negative
sure lost flat characters audience nearly half walked,negative
attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost nonexistent,negative
little music anything speak,negative
best scene movie gerardo trying find song keeps running head,positive
rest movie lacks art charm meaning emptiness works guess empty,negative
wasted two hours,negative
saw movie today thought good effort good messages kids,positive
bit predictable,negative
loved casting jimmy buffet science teacher,positive
baby owls adorable,positive
movie showed lot florida best made look appealing,positive
songs best muppets hilarious,positive
cool,positive
right case movie delivers everything almost right face,positive
average acting main person low budget clearly see,negative
review long overdue since consider tale two sisters single greatest film ever made,positive
ill put gem movie terms screenplay cinematography acting postproduction editing directing aspect filmmaking,positive
practically perfect  true masterpiece sea faux masterpieces,positive
structure film easily tightly constructed history cinema 1 think film something vitally important occurs every minute 1 words content level film enough easily fill dozen films 1 anyone right mind ask anything movie 1 quite simply highest superlative form cinema imaginable 1 yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture 1 short film certainly pulls punches 0 graphics far best part game 0 number one best th game series 1 deserves strong love 1 insane game 1 massive levels massive unlockable characters massive game 1 waste money game 1 kind money wasted properly 1 actually graphics good time 1 today graphics crap 0 say canada fun game aye 1 game rocks 1 buy play enjoy love 1 pure brilliance 1 flick doomed conception 0 idea lame take minor character mediocre pg13 film make complete nonsequel changing tone pgrated family movie 0 wasnt least bit interested 0 confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer 0 funny 0 even talented carrell cant save 0 costars dont fare much better people like morgan freeman jonah hill ed helms wasted 0 story predictable lazy 0 real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen 0 whatever cost much didnt translate quality thats sure 0 film succeeds despite perhaps obviously meagre budget 1 im glad film didnt go obvious choice lesser film certainly would 1 addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen 1 hard fall headoverheels love girl 1 negative insipid enough cause regret another 2 hours life wasted front screen 0 long whiny pointless 0 recommend waiting future efforts let one go 0 excellent cast story line performances 1 totally believable 1 anne heche utterly convincing 1 sam shepards portrayal gung ho marine sobering 1 sat riveted tv screen 1 give one resounding 9 10 1 think tom hanks good actor 1 enjoyed reading book children little 1 disappointed movie 0 one character totally annoying voice gives feeling fingernails chalkboard 0 totally unnecessary trainroller coaster scene 0 absolutely warmth charm scenes characters 0 movie totally grates nerves 0 performances improved improvisation actors twice much worry whether theyre delivering line well whether line good 0 quite honestly often good 0 often dialogue doesnt really follow one line another fit surroundings 0 crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly 0 generally great things 1 wouldnt say theyre worth 2 hours time though 0 suspense builders good cross line g pg 1 especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections 1 want movie thats gross gives chills great choice 1 alexander nevsky great film 1 amazing film artist one important whoever lived 1 im glad pretentious piece didnt planned dodge stratus big shots gonna help movie makers arent restrained movie business québec,negative
first movie ive given 10 years,positive
ever movie needed wordofmouth promote,positive
overall film interesting thoughtprovoking,positive
plus wellpaced suited relatively short run time,positive
give one look,positive
gave 10,positive
wind lion well written superbly acted,positive
true classic,positive
actually turned pretty decent far blist horrorsuspense films go,positive
definitely worth checking,positive
problem script,negative
horrendous,negative
nothing believable,negative
suspense feeling frustration retarded girls,negative
manna heaven terrific film predictable unpredictable time,positive
scenes often funny occasionally touching characters evaluate lives going,positive
cast veteran actors nostalgia trip,positive
ursula burtons portrayal nun touching funny time making fun nuns church,positive
looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,positive
dont think disappointed,positive
frankly cotton club unfaithful kind embarrassing watch lane gere film bad,negative
acting bad dialogs extremely shallow insincere,negative
predictable even chick flick,negative
politically correct,negative
disappointing,negative
thing really worth watching scenery house beautiful,positive
love lane ive never seen movie lousy,negative
hour half wish could bring back,negative
terms writing fresh bold,positive
acting helps writing along well maybe idiotsavant sister could played better real joy watch,positive
directing cinematography arent quite good,negative
movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,negative
sometimes embarrassing look away,negative
directing seems pretentious,negative
scenes ohsomature neighbourgirl misplace,negative
generally lines plot weaker average episode,negative
scene debated whether sack trumpeter falsely accused murder pure horror really stupid,negative
applause given prelude however,positive
really liked,positive
great film great director,positive
movie edge seat made somewhat afraid go car end night,positive
music film really nice,positive
id advise anyone go see,positive
brilliant,positive
1010,positive
liked movie way much,positive
problem thought actor playing villain low rent michael ironside,negative
rocked world certainly must see anyone social physical outlets,positive
however didnt make fact overall tremendously boring movie,negative
chemistry ben affleck sandra bullock film couldnt understand would consider even leaving wifetobe chick supposedly knocked,negative
several moments movie didnt need excruciatingly slow moving,negative
poor remake best friends wedding,negative
